branch,mini,small,medium,large,superlarge,VIP-S,VIP-M,VIP,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,store,address,phone,card
松隆店,NA,700,900,1100,1300,NA,1600,1800,1,1,1,1,1,1,1,NA,NA,0.4,0.4,0.7,0.7,0.7,0.7,0.9,0.9,0.9,1,1,1,1,1,1,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,500,700,900,1100,1300,NA,NA,1400,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,500,700,900,1100,1300,NA,NA,1400,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,500,700,900,1100,1300,NA,NA,1600,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,NA,700,900,1100,1300,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,NA,700,900,1100,1300,NA,1600,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,NA,700,900,1100,1300,1500,1800,NA,1,1,1,1,1,1,NA,NA,NA,NA,0.5,0.6,0.6,0.6,0.6,0.7,0.7,1,1,1,1,1,1,1,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,NA,700,900,1100,1300,NA,NA,1600,0.9,0.9,0.9,0.9,0.9,0.9,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9,好樂迪,台北市文山區木柵路三段96號,02-8661-6308,0.9
館前店,NA,700,900,1100,1300,NA,NA,1500,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,NA,700,900,1100,1300,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市信義區基隆路二段111號,02-2739-4288,0.9
板橋館,600,600,600,1130,1330,1330,1330,2680,1,1,0.95,0.95,0.95,0.95,0.95,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.95,1,1,1,1,星聚點,新北市板橋區中山路一段1號,02-2950-6565,1
西門館,610,610,610,1230,1480,1480,1480,2780,1,1,0.95,0.95,0.95,0.95,0.95,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1,1,1,星聚點,台北市萬華區成都路81號,02-2388-6000,1
復興館,700,700,700,1430,1680,1680,1680,2980,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,星聚點,台北市松山區復興北路15號,02-2781-7700,1
台北敦南店,710,710,1030,1680,1680,1680,1680,1680,1,1,1,1,1,1,1,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,錢櫃,台北市大安區敦化南路一段205號2樓,02-2731-6326,0.95
台北SOGO店,780,780,1280,1580,1880,2280,2280,2680,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,錢櫃,台北市大安區忠孝東路四段22號,02-2771-5000,0.95
台北松江店,730,730,1130,1630,1630,2030,2030,2030,1,1,0.95,0.95,0.95,0.95,0.95,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,1,1,1,1,錢櫃,台北市中山區松江路199號,02-2503-1688,0.95
台北南京店,710,710,1080,1380,1580,NA,NA,NA,1,1,0.95,0.95,0.95,0.95,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,0.9,1,1,1,1,錢櫃,台北市中山區南京東路二段3號,02-2560-2111,0.95
台北林森店,780,780,1180,1580,1880,2180,2180,2480,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,錢櫃,台北市中山區林森北路312?號,02-2537-6188,0.95
台北中華新館,700,700,1280,1380,1680,2180,2180,2480,1,1,0.95,0.95,0.95,0.95,0.95,NA,NA,NA,0.5,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.85,0.85,1,1,1,1,錢櫃,台北市中正區中華路一段55號,02-22059395,0.95
