,迷你(2~3),小(4~6),中(7~9),大(10~12),特大(13~15),小VIP(15~18),中VIP(15~18),VIP(18up),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,店,地址,電話,威力卡
松隆店,NA,700,900,1100,1300,NA,1600,1800,1,1,1,1,1,1,1,NA,NA,0.4,0.4,0.7,0.7,0.7,0.7,0.9,0.9,0.9,1,1,1,1,1,1,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,500,700,900,1100,1300,NA,NA,1400,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,500,700,900,1100,1300,NA,NA,1400,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,500,700,900,1100,1300,NA,NA,1600,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,NA,700,900,1100,1300,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,1,1,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,NA,700,900,1100,1300,NA,1600,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,NA,700,900,1100,1300,1500,1800,NA,1,1,1,1,1,1,NA,NA,NA,NA,0.5,0.6,0.6,0.6,0.6,0.7,0.7,1,1,1,1,1,1,1,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,NA,700,900,1100,1300,NA,NA,1600,0.9,0.9,0.9,0.9,0.9,0.9,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9,好樂迪,台北市文山區木柵路三段96號,02-8661-6308,0.9
館前店,NA,700,900,1100,1300,NA,NA,1500,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,NA,700,900,1100,1300,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,好樂迪,台北市信義區基隆路二段111號,02-2739-4288,0.9
