branch,mini,small,medium,large,superlarge,VIP-S,VIP-M,VIP,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,store,address,phone,card
松隆店,NA,700,900,1100,1300,NA,1600,1800,0.6,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,0.4,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.9,0.9,0.9,0.9,0.6,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,500,700,900,1100,1300,NA,NA,1400,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.5,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,500,700,900,1100,1300,NA,NA,1400,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.5,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,500,700,900,1100,1300,NA,NA,1600,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.6,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,NA,700,900,1100,1300,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.6,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,NA,700,900,1100,1300,NA,1600,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,NA,700,900,1100,1300,1500,1800,NA,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.9,0.9,0.9,0.6,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,NA,700,900,1100,1300,NA,NA,1600,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.6,好樂迪,台北市文山區木柵路三段96號,02-8661-6308,0.9
館前店,NA,700,900,1100,1300,NA,NA,1500,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.5,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,NA,700,900,1100,1300,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.6,好樂迪,台北市信義區基隆路二段111號,02-2739-4288,0.9
