分店名稱,MTWT.Morning,MTWT.MorningPr,MTWT.MorningHr,MTWT.MorningS,MTWT.Noon,MTWT.NoonPr,MTWT.NoonHr,MTWT.NoonS,MTWT.Afternoon,MTWT.Afternoon.Pr,MTWT.Afternoon.Hr,MTWT.Afternoon.S,MTWT.Night,MTWT.NightPr,MTWT.NightHr,MTWT.NightS,MTWT.Mid,MTWT.MidPr,MTWT.MidHr,MTWT.MidS,店,地址,電話,威力卡
松隆店,09:30-10:59,222,5,40,11:00-14:59,242,4,40,15:00-18:59,262,4,40,19:00-22:59,312,3,40,23:00-06:30,292,7.5,0,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,06:00-10:59,202,5,40,11:00-18:59,222,4,40,11:00-18:59,222,4,40,19:00-22:59,262,4,40,23:00-05:59,232,6,40,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,06:00-11:59,NA,NA,NA,12:00-13:59,232,5,40,14:00-18:59,232,4,40,19:00-22:59,292,4,40,23:00-05:59,262,6,0,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,06:00-10:59,202,6,40,11:00-18:59,232,4,40,11:00-18:59,232,4,40,19:00-22:59,292,3,40,23:00-05:59,262,6,40,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,06:00-11:59,NA,NA,NA,12:00-18:59,232,4,40,12:00-18:59,232,3,40,19:00-22:59,302,3,40,23:00-05:59,272,6,0,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,07:00-11:59,NA,NA,NA,12:00-18:59,230,4,40,12:00-18:59,230,4,40,19:00-22:59,300,3,40,23:00-06:59,270,6,40,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,10:00-10:59,220,5,40,11:00-14:59,260,4,40,15:00-18:59,260,3,40,19:00-22:59,320,3,40,23:00-05:59,320,6,0,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,06:00-10:59,NA,NA,NA,11:00-18:59,212,4,40,11:00-18:59,212,4,40,19:00-22:59,282,3,40,23:00-05:59,262,6,0,好樂迪,台北市木柵路三段96號,02-8661-6308,0.9
館前店,10:00-10:59,NA,NA,NA,11:00-18:59,222,4,40,11:00-18:59,222,4,40,19:00-22:59,272,4,40,23:00-04:59,242,5,0,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,06:00-11:59,NA,NA,NA,12:00-18:59,232,4,40,12:00-18:59,232,4,40,19:00-22:59,292,3,40,23:00-05:59,262,6,0,好樂迪,台北市基隆路信義區二段111號,02-2739-4288,0.9
