分店名稱,Sun.Morning,Sun.MorningPr,Sun.MorningHr,Sun.MorningS,Sun.Noon,Sun.NoonPr,Sun.NoonHr,Sun.NoonS,Sun.Afternoon,Sun.Afternoon.Pr,Sun.Afternoon.Hr,Sun.Afternoon.S,Sun.Night,Sun.NightPr,Sun.NightHr,Sun.NightS,Sun.Mid,Sun.MidPr,Sun.MidHr,Sun.MidS,店,地址,電話,威力卡
松隆店,09:30-10:59,292,4,40,11:00-14:59,312,3,40,15:00-18:59,342,4,40,19:00-22:59,342,3,40,23:00-06:30,322,7.5,0,好樂迪,台北市信義區松隆路327號B1,02-2769-1099,0.9
西寧店,06:00-10:59,262,5,40,11:00-18:59,292,4,40,11:00-18:59,292,4,40,19:00-22:59,312,4,40,23:00-05:59,262,6,40,好樂迪,台北市萬華區西寧南路62號,02-2388-0768,0.9
中興店,06:00-11:59,NA,NA,NA,12:00-13:59,312,4,40,14:00-18:59,312,4,40,19:00-22:59,342,4,40,23:00-05:59,292,6,0,好樂迪,台北市松山區復興南路一段29號,02-2751-2508,0.9
景美店,06:00-10:59,272,5,40,11:00-18:59,302,4,40,11:00-18:59,302,4,40,19:00-22:59,332,3,40,23:00-05:59,292,6,40,好樂迪,台北市文山區羅斯福路六段403號1-2F,02-2934-8000,0.9
內湖店,06:00-11:59,NA,NA,NA,12:00-18:59,302,4,40,12:00-18:59,302,4,40,19:00-22:59,332,3,40,23:00-05:59,302,6,0,好樂迪,台北市內湖區成功路四段68號B1,02-2795-1389,0.9
錦州店,07:00-10:59,270,6,40,11:00-18:59,300,4,40,11:00-18:59,300,4,40,19:00-22:59,330,4,40,23:00-06:59,300,6,40,好樂迪,台北市中山區錦州街19號,02-2571-1912,0.9
石牌店,10:00-10:59,280,4,40,11:00-14:59,320,3,40,15:00-18:59,320,3,40,19:00-22:59,350,3,40,23:00-05:59,350,6,0,好樂迪,台北市北投區裕民六路128號,02-2822-2168,0.9
木柵店,06:00-10:59,NA,NA,NA,11:00-18:59,312,4,40,11:00-18:59,312,4,40,19:00-22:59,332,3,40,23:00-05:59,292,6,0,好樂迪,台北市木柵路三段96號,02-8661-6308,0.9
館前店,10:00-10:59,292,5,40,11:00-18:59,292,4,40,11:00-18:59,292,4,40,19:00-22:59,322,4,40,23:00-04:59,272,5,0,好樂迪,台北市中正區館前路34號,02-2381-9208,0.9
通化店,10:00-10:59,282,5,40,11:00-18:59,302,4,40,11:00-18:59,302,4,40,19:00-22:59,332,3,40,23:00-05:59,292,6,0,好樂迪,台北市基隆路信義區二段111號,02-2739-4288,0.9
