from_name,message,created_time,link,likes_count,comments_count,shares_count,title,Date,Time,z_like,z_comments,z_share
TEEPR 趣味新聞,太強了,2016-12-20T23:00:560000,http://www.teepr.com/525479/juliewu/11%e5%bc%b5%e7%be%8e%e5%9c%96%e7%a7%80%e7%a7%80%e7%9a%84%e5%89%8d%e5%be%8c%e5%b0%8d%e7%85%a7%e5%9c%96/,2652,49,117,11張使用「美圖秀秀的超驚悚前後對照圖」，#1就是為什麼我從不跟網友見面的原因。,1220,230056,-0.533589744,-0.256876203,-0.404685391
TEEPR 趣味新聞,你看得懂嗎？,2016-12-20T18:01:130000,http://www.teepr.com/525502/lexychang/%e8%ab%b7%e5%88%ba%e7%95%ab/,5635,19,444,12張人類做盡但打死也不敢承認的「諷刺醜陋現實插畫」！,1220,180113,-0.146540117,-0.471997929,0.166882923
TEEPR 趣味新聞,有些好恐怖,2016-12-20T17:01:230000,http://www.teepr.com/525260/sharonlian/%e6%af%94%e4%bd%a0%e4%ba%ba%e7%94%9f%e9%82%84%e6%85%98/,8063,41,416,如果你曾覺得自己是廢物的話，這24張照片會讓你發現自己前途無量！,1220,170123,0.168497259,-0.314241996,0.117941293
TEEPR 趣味新聞,真的要冷靜啦！,2016-12-20T16:01:090000,http://www.teepr.com/617712/angelpan/%e9%a9%9a%e5%98%86%e8%99%9f%e6%83%b9%e6%80%92%e8%b2%b7%e5%ae%b6/,876,41,21,網拍賣家正常使用「！」，買家狂怒嗆退貨：「驚嘆號很激動嗎？」。網友：「壓！力！是！有！多！大！」,1220,160109,-0.764028944,-0.314241996,-0.572485263
TEEPR 趣味新聞,男生要多多學習啊！,2016-12-20T15:40:190000,http://www.teepr.com/617655/cindyleung/5%e5%80%8b%e7%94%b7%e7%94%9f%e4%b8%80%e7%9b%b4%e5%81%9a%e9%8c%af%e8%ae%93%e5%a5%b3%e7%94%9f%e8%97%8d%e7%98%a6%e9%a6%99%e8%8f%87%e3%80%8c%e9%8c%af%e8%aa%a4%e6%84%9b%e6%84%9b%e6%8a%80%e5%b7%a7%e3%80%8d/,1977,10,65,5個男生一直做錯讓女生藍瘦香菇「錯誤愛愛技巧」！#3都是啞巴！,1220,154019,-0.62117221,-0.536534446,-0.495576988
TEEPR 趣味新聞,車主氣死了,2016-12-20T15:20:170000,http://www.teepr.com/617293/jonhsieh/%e7%b4%90%e7%b4%84%e8%ad%a6%e5%af%9f%e6%89%93%e7%a0%b4%e8%bb%8a%e7%aa%97%e6%95%91%e5%86%b0%e5%87%8d%e7%9a%84%e5%a9%a6%e4%ba%ba/,2939,20,61,紐約警察打破車窗拯救被「冰凍的婦人」，車主回來後直接開罵！,1220,152017,-0.496350976,-0.464827204,-0.50256865
TEEPR 趣味新聞,男醫生比較會把人搞死,2016-12-20T15:01:040000,http://www.teepr.com/617796/cindyleung/%e5%93%88%e4%bd%9b%e7%a0%94%e7%a9%b6%e6%8c%87%e5%87%ba%e4%b8%8d%e6%83%b3%e6%ad%bb%e7%9a%84%e8%a9%b1%ef%bc%8c%e6%9c%80%e5%a5%bd%e6%89%be%e5%a5%b3%e9%86%ab%e7%94%9f%ef%bc%81%e4%bd%86%e3%80%8c%e8%96%aa/,1023,1,11,哈佛研究指出不想死的話，最好找女醫生！但「薪水差很多」！,1220,150104,-0.74495543,-0.601070964,-0.589964416
TEEPR 趣味新聞,真的好好笑,2016-12-20T14:45:160000,http://www.teepr.com/617578/sharonlian/%e7%a5%9e%e8%bd%89%e6%8a%98%e6%bc%ab%e7%95%ab/,6773,23,246,11則為讓你忍不住超有感的「有點小黑暗」神轉折漫畫。#3修女超糟糕…,1220,144516,0.001117434,-0.443315032,-0.179204313
TEEPR 趣味新聞,媽媽都說頭髮濕睡覺不好...,2016-12-20T14:30:360000,http://www.teepr.com/617165/cindyleung/19%e4%bb%b6%e5%85%b6%e5%af%a6%e5%a4%a7%e5%ae%b6%e4%b8%80%e7%9b%b4%e6%90%9e%e9%8c%af%e3%80%8c%e4%bd%a0%e8%a2%ab%e6%89%80%e6%9c%89%e4%ba%ba%e9%a8%99%e6%85%98%e4%ba%86%e3%80%8d%e5%bf%85%e7%9c%8b%e7%94%9f/,6311,56,623,19件其實大家一直搞錯「你被所有人騙慘了」必看生活知識！#1剃毛不會讓毛髮變粗！,1220,143036,-0.058827899,-0.206681133,0.479759767
TEEPR 趣味新聞,不怕一萬，只怕萬一,2016-12-20T14:15:210000,http://www.teepr.com/617482/cindyleung/%e4%bd%8f%e6%97%85%e9%a4%a8%e6%99%82%e8%b6%85%e7%a5%9e%e5%ae%89%e5%85%a8%e6%a9%9f%e9%97%9c%e3%80%8c2%e5%80%8b%e7%8e%bb%e7%92%83%e6%9d%af%e3%80%8d%e5%b0%b1%e8%83%bd%e6%95%91%e4%bd%a0%e4%b8%80%e5%91%bd/,13569,119,1989,住旅館時超神安全機關「2個玻璃杯」就能救你一命！影片中看到反鎖都沒用！,1220,141521,0.882910682,0.245074491,2.867412111
TEEPR 趣味新聞,這男生不得奧斯卡就太沒天理了,2016-12-20T14:01:030000,http://www.teepr.com/617335/jonhsieh/17%e6%ad%b2%e7%9a%84%e7%94%b7%e5%ad%90%e8%ae%8a%e6%88%90%e6%a2%97%e5%9c%96/,5223,21,130,17歲的男生看到老師拿出的巨獸後，臉部表情就爆炸網路爆紅了！,1220,140103,-0.19999786,-0.45765648,-0.381962492
TEEPR 趣味新聞,其實大嬸的反應最讓人感動！,2016-12-20T13:45:160000,http://www.teepr.com/617503/sharonlian/%e5%a5%b3%e5%90%8c%e5%bf%97%e6%b1%82%e5%a9%9a%e8%b7%af%e4%ba%ba%e9%a9%9a%e5%96%9c/,9739,10,206,他請攝影師拍下「姐姐跟女友求婚」的珍貴畫面，旁邊路人「真心驚喜表現」網友都感動哭了！,1220,134516,0.38596128,-0.536534446,-0.249120926
TEEPR 趣味新聞,他們眼中的世界,2016-12-20T13:30:310000,http://www.teepr.com/617374/sharonlian/%e9%bb%91%e8%89%b2%e5%b9%bd%e9%bb%98%e5%8b%95%e7%89%a9%e6%bc%ab%e7%95%ab/,6738,13,645,15張「深度黑色幽默」動物黑暗面漫畫。#4你上天堂後的處罰。,1220,133031,-0.003423879,-0.515022274,0.518213904
TEEPR 趣味新聞,背部有點暴力,2016-12-20T13:15:150000,http://www.teepr.com/617372/adrianchiang/%e5%81%a5%e7%be%8e%e7%89%88%e5%ad%90%e7%91%9c/,17918,88,422,韓國正妹「健美版周子瑜」身材完美到不行，最後一張「脫衣服」讓網友嚇到不要不要！,1220,131515,1.447201271,0.022782041,0.128428785
TEEPR 趣味新聞,跟我們想像的一點都不一樣,2016-12-20T13:00:550000,http://www.teepr.com/617206/sharonlian/%e4%b8%80%e5%a4%ab%e5%a4%9a%e5%a6%bb%e5%ae%b6%e5%ba%ad/,1828,13,38,他「娶5個老婆生24個小孩」極端到其他一夫多妻家庭都排斥，攝影師入家門拍到完美和諧氣氛！,1220,130055,-0.640505229,-0.515022274,-0.542770702
TEEPR 趣味新聞,明明是叫素食餐啊！,2016-12-20T12:45:130000,http://www.teepr.com/617579/cindyleung/%e9%a3%9b%e6%a9%9f%e9%a4%90%e7%9b%92/,5870,113,332,她在飛機上一打開餐盒就看到「烤到焦黑的GG」被嚇壞！網友：「可能是空姐在飛機上把…」,1220,124513,-0.116048444,0.202050146,-0.028883595
TEEPR 趣味新聞,范冰冰這樣EQ太高了,2016-12-20T12:30:290000,http://www.teepr.com/617417/jonhsieh/%e8%8c%83%e5%86%b0%e5%86%b0p%e5%9c%96%e8%a2%ab%e9%85%b8%e4%b8%8a%e5%82%b3%e7%9c%9f%e5%af%a6%e7%85%a7/,14803,86,191,范冰冰P圖被酸後，霸氣怒傳9張「最真實未修圖」照片回酸網友！,1220,123029,1.043024406,0.008440592,-0.275339656
TEEPR 趣味新聞,這是真的,2016-12-20T12:15:150000,http://www.teepr.com/617418/adrianchiang/%e6%b5%aa%e6%bc%ab%e6%84%9b%e6%84%9b%e6%9c%9f%e6%9c%9b%e8%88%87%e7%8f%be%e5%af%a6%e5%b7%ae%e8%b7%9d/,954,7,20,9個把愛愛想像得越美好「現實只會越悲慘」的爆笑案例，1#你一定也被色色片誤導了！,1220,121515,-0.753908304,-0.558046619,-0.574233178
TEEPR 趣味新聞,這真的很不OK,2016-12-20T12:00:450000,http://www.teepr.com/617541/jonhsieh/%e4%b8%ad%e5%9c%8b%e9%ac%a7%e6%b4%9e%e6%88%bf%e7%bf%92%e4%bf%97%e8%b6%85%e6%81%90%e6%80%96/,5059,291,244,新娘被親戚脫衣、亂摸、亂揉、「強暴」，中國「鬧洞房」習俗讓外國人準備報警！,1220,120045,-0.221277155,1.478439052,-0.182700144
TEEPR 趣味新聞,太聰明也是種詛咒,2016-12-20T11:45:100000,http://www.teepr.com/617236/cindyleung/18%e6%9c%88%e5%a4%a7%e5%b0%b1%e6%9c%83%e5%bf%b5%e6%9b%b8%e7%9a%8414%e6%ad%b2%e7%a5%9e%e7%ab%a5%e3%80%8c%e6%99%ba%e5%95%86178%e3%80%8d%e8%88%89%e6%a7%8d%e8%87%aa%e6%ae%ba%e6%b2%92%e6%9c%89%e6%8a%91/,16730,235,736,18月大就會念書的14歲神童「智商178」舉槍自殺沒有抑鬱跡象，媽媽透露：「他知道自己是時候離開。」,1220,114510,1.29305613,1.076878497,0.6772742
